obs st co expen wealth    pop    pint dens income   id  growr
114 36  6   274  32752    520    12.4   15  10284 1550   -4.5
115 36  6   224  20621   1472    15.8   41   9135 1770   -0.7
116 36  6   176  36939   1462     8.8  236  12464 2430   -6.4
117 36  6   174  40676   4147    15.5   88  14136 2630   -0.5
118 36  6   207  36200   5525     6.8  192  18256 2640   -3.9
119 36  6   257  19006   1600    15.2   44   9325 2660   -4.4
121 36  6   155  15723   2172    13.3   60   9681 3270    6.2
122 36  6   177  30345   3661     5.0   78  12679 3700   -6.8
123 36  6   153  23216   1729    12.4   40  10050 3730    6.1
124 36  6   235  31045   1298     9.5   70  15220 4370   -8.4
125 36  6   363  40306   1106    13.5   31  10352 5350   -9.3
126 36  6   331  42922   2309    16.4   55  12862 5960    1.7
127 36  6   176  23444   2597    13.6   71  10994 6770   -1.3
128 36  6    66  25063   3772    16.2   97  11510 6780   -2.0
129 36  6   150  19241   3531     9.2  108   8930 6820   14.2
130 36  6   211  25617   2924    12.3   60   9690 7150   -6.7
131 36  6   222  29211   2567    12.7   69  12976 7750   -2.9
132 36  6   270  25120    830    11.3   23   8979 7760   13.4
133 36  6   171  19332   1794    10.8   39   9530 8110   15.7
134 36  6   248  22531   1066    15.5   30   9784 8600    0.4
135 36  6   173  35087   1760     9.8   41  11794 8920    5.3
136 36  7   138  18065   1355    13.4  100  11101  340    2.2
137 36  7   249  18799    816    23.4   32  10395  480   -7.1
138 36  7   175  33353   7585    13.6  170  16312  720   -0.7
139 36  7   182  17254   2607    14.5   69  10968 1360   -3.4
140 36  7   167  19812   2561    12.4   52  10239 1530    4.3
141 36  7   206  31868   7401    10.3  332  18188 2690   -2.6
142 36  7   184  16454   1995    22.1   45  10171 2720   -1.7
143 36  7   111  31554   8796    19.5  285  13821 4050    1.8
144 36  7   171  19747  11568    10.7  249  11811 7910   -0.1
145 36  7   220  26759    954    19.7   23   9823 8500   -0.5
146 36  7   119  24997   3109    20.3   82  12208 8560   -2.6
147 36  8   152  25118   2212    16.1   50  10167   30   22.2
148 36  8   129  40892   1928    15.6   58  12450  470    9.7
149 36  8   267  23881    882    17.8   24   9914 1900    8.4
150 36  8   227  23745   1566    17.7   32   9727 2050   19.4
151 36  8   305  38055    323    28.2   11   7501 3240   24.4
152 36  8   135  25334   4293    13.8   58  12462 3430    6.5
153 36  8   206  24198   2962    12.4   48  10535 3560   17.7
154 36  8   385  27460    489    22.1   19  13528 4690    2.7
155 36  8   383  34842    812    21.6   21   8700 5210    1.6
156 36  8   144  28814   1865    11.5   41  11255 5670   11.8
157 36  8   147  23666   2060    14.4   73  11491 5990   18.4
158 36  8   112  29641   4092    19.3   97  14539 6030    1.0
160 36  8   104  27151   2365    17.6   41  11097 6330    6.4
161 36  8   226  24548    761    25.7   20   5676 6570   21.3
162 36  8   195  22822    754    21.6   26   8068 6670    2.2
163 36  8   213  24165   1742    18.9   41  10749 6750   12.5
164 36  8   175  22314   1132    20.1   32   9385 6910   16.9
165 36  8   167  27793   1565    11.8   38  11658 7740   34.0
166 36  8   250  26493   1166    20.5   23  10003 7810   -0.6
167 36  8   237  21019   1081    18.0   26   9306 7820   14.9
168 36  9   155  15112   2915    20.5   29   6779  160   33.6
169 36  9   221  24973   1066    16.9   28  10787  410   32.5
170 36  9   197  23468   5275    15.4   87  11507  590   19.5
171 36  9   330  39364   1566    18.3   12  10285  750    3.4
172 36  9   139  40026   2133    14.3   44  12718 1440   -3.0
173 36  9   222  22493   3915    25.2   72  12403 1510    3.3
174 36  9   371  24387    659    30.3   10   8662 1750   -3.2
175 36  9   101  31392   1283    57.3   22   7517 2150   29.6
176 36  9   349  25465   1866    12.7   17  10410 2620    5.5
177 36  9   166  18108   2558    30.3   29  11619 5470    6.3
178 36  9   186  27482   6434    14.4   81  13218 6550   16.9
179 36  9   196  27728  17400     6.7  378  10040 6730    5.2
180 36  9   234  23526   3774    29.0   33  11568 7460    9.5
181 36  9   151  21376   4908    23.7  131  11882 7580   14.4
182 36 10   256  98341   1546    18.4   36  13824  220   13.4
183 36 10   332 134070   1484    15.3   30  18489  420   10.8
184 36 10   221 104544   1797    23.0   49  17079 1180    7.2
185 36 10   227  79050   4437    14.6   83  18185 1490    2.8
186 36 10   144  40996   4845    16.2  104  12652 1690    5.9
187 36 10   141  59585   1478    19.7   82  12509 1720   13.7
188 36 10   240  93169   3171    10.4   77  13002 1990    9.3
189 36 10   239  63028   1731    15.7   44  13083 3130   28.3
190 36 10   275  60092   2028    16.3  166  14032 3260    4.6
191 36 10   164  49257   2943    13.3   67  14278 3280    9.8
192 36 10   237  49461   4115     4.5  219  15283 3460    1.8
193 36 10   355 123608   1822    14.1   38  16468 3940    8.8
194 36 10   108  48907   5463    26.0  192  15491 4380   14.0
195 36 10   134  51799   3681    18.0   96  11824 4770   16.0
196 36 10   187  63866   2401    15.2   67  14110 5770    4.8
197 36 10   154  28129   3133    10.6  270  11124 8100    8.4
198 36 10   152  47447   2170    18.2   86  13118 8150   -1.7
199 36 10   362 110860   1113    10.0   28  15501 8200    0.9
200 36 11   175  19631   1116    16.3   44   9558 1620   -2.5
201 36 11   235  37883   6954     6.6  142  13435 2040   -1.8
202 36 11   292  29276    851    15.0   20   9708 2130    0.5
203 36 11   231  17148    711    15.5   28   8526 3060   20.3
204 36 11   164  23529    892    17.9   37   9455 3720    3.6
205 36 11   120  32570   3046    16.0   62  12622 3970    2.3
206 36 11   210  33540    617    28.4   25  10944 4500    3.5
207 36 11   155  25197    943    18.4   39  10622 5080   20.3
208 36 11   187  29716   1565    20.9   58  12047 6900   -3.7
209 36 11   179  21776   1162    20.4   52  11665 7610   -2.2
210 36 11   234  22213   1037    19.7   35   9137 7840   16.5
211 36 11   265  22519    554    34.4   18   9872 8210   12.7
212 36 11   349  39056   1079    14.6   24  10876 8350    7.7
213 36 11   233  34599   2196    14.2   46  12390 8610    5.8
214 36 11   214  22542    921    68.6   36   9001 9090   19.4
215 36 12   446 163655   1011    18.9    9  11376  230    6.3
216 36 12   557 101365    548    15.1   12  12777  840   -2.1
217 36 12   563 177870   1944    13.0   14  10671 1820    4.3
218 36 12   144  38047   2531    24.7   48  11521 2190   23.7
219 36 12   146  63862   1957    14.9   32  12246 2270    1.6
220 36 12   136  81624   1827    10.4   42  10571 2310    0.8
221 36 12   227  48417   2076    19.5   26  12159 3000    3.6
222 36 12   424  70187   1118    15.3   19  11713 3620  -10.3
223 36 12   304  63615   2071    13.2   13  10833 3680    4.2
224 36 12   406  64180   1441    11.0   34  11728 3740   -3.0
225 36 12   341  56410   1442    16.7   23  11027 4440   12.8
226 36 12   232  42047   1391    21.3   26  10277 5180   17.0
227 36 12   251  39202   1541    19.0   26   9727 5240   10.1
228 36 12   394 115265   2408    12.0   25  11258 5300   -1.5
229 36 12   456  78779   2407    10.8   28  11442 7270    4.2
230 36 12  1667  54947   1937     1.8   40  12335 7770   -2.4
231 36 12   214 111904    476    15.8   10  11694 8000   38.8
232 36 12   351  82564    999    16.3   10   9522 8290    2.7
233 36 12   128  57662   2650    16.7   28  12018 8660    4.7
234 36 13   189  52860   4974     7.6  115  11175  180  -17.5
235 36 13   160  50328  11109    13.3  370  14278  580   46.3
236 36 13   267  91916   3833    17.8  100  19838 1760   10.8
237 36 13   175  48674   7881    12.3  141  13737 2380    7.1
238 36 13   304  66285  22903     8.3  403  18391 2480   22.2
239 36 13   182  46765  16047     7.3  603  14914 2880   12.5
240 36 13   162  46469  21322    12.3  576  15370 4140    2.2
241 36 13   228  69311  13454    11.4  339  20017 4460    7.3
242 36 13   332  96465   1940    12.1   54  16640 5310   13.6
243 36 13   233 100478   2068    13.6   48  13532 5930    9.1
244 36 13   284 146621   4008    12.9   95  19251 6450    4.6
245 36 13   290  74912   2305     9.0   75  13851 6650    4.0
246 36 13   190  64879   8297    10.4  252  17274 6740   17.0
247 36 13   338  55681  40262     7.1 1398  18079 6860    1.5
248 36 13   124  56296   6894    13.7  204  14357 7030   13.2
249 36 13   225  87972   4896    13.0  141  17118 7070    6.9
250 36 13   246 102451   3530    11.7   71  19220 8010    5.3
251 36 13   413 103928   3761    13.3  100  17729 8470   34.6
252 36 13   162  55463  21350     9.2  815  19035 8680   -1.2
253 36 13   320 150468   3160    10.7   55  28905 8740    3.3
254 36 14   150  23021   7977    11.8  251  11442   70    4.1
255 36 14   356  39000 106816    20.2 2054  19457  190    3.3
256 36 14   231  43780   6729    14.0  199  18445  400   -4.0
257 36 14   213  32209   7397    15.0  207  16523  830   -3.1
258 36 14   305  31515   1624    17.0   70  11967  880  -16.8
259 36 14   336  29323  76354     8.8 3235  13339 1520   -8.6
260 36 14   220  47986  20420    12.5  382  18206 1640   10.4
261 36 14   250  35078   2853    13.1   80  13695 1830   -7.3
262 36 14   148  16583   6217    15.0  129   8946 1860   19.5
263 36 14   144  33740   4115    14.9   62  12174 1910    4.9
264 36 14   276  27977   7434    11.2  187  13472 2540    1.2
265 36 14   173  37696  10311    12.1  299  18439 2680   -2.1
266 36 14   409  23840  15163     6.3  375  12096 2770   -2.7
267 36 14   223  35137  17719     6.9  620  17581 3370    4.7
268 36 14   325  31723  40592     8.3 1077  14364 3610    2.5
269 36 14   227  26074   3597    11.3  101  12102 3960    3.7
270 36 14   270  33652  20872     8.6  593  13208 4480   18.5
271 36 14   130  27588   5328    19.4  193  13542 5120    8.0
272 36 14   159  37664   4589    17.0   93  12706 5820    6.4
273 36 14   189  30634   2141     6.9   51  12056 5910   -5.6
274 36 14   280  41125  21485     8.0  578  18274 6170    3.2
275 36 14   195  32327   2642    24.4   53  11694 7480   -4.5
276 36 14   415  32832  63782    13.5 3666  14739 8300  -10.3
277 36 14   144  31136   2932    24.4   82  14118 8640    2.6
278 36 14   356  27045  47154     5.6 2203  13990 8970   -6.6
279 36 15   305  39865   2241    59.7   28  10728 1590   -5.5
280 36 15   377  31741   1988    31.7   26   9044 2110    6.9
281 36 15   390  47508   1323     7.4   16  10576 2600    3.7
282 36 15   686  62551    648    13.4   21  11173 2760  -21.9
283 36 15   359  35577   2249    26.4   33  11168 4270    1.0
284 36 15   947 186722    906     8.5    6  12760 4340   -1.2
285 36 15   417  38262   1084    13.0   13  11269 4610   14.6
286 36 15  1059 196761    753    22.9    5  11010 5370   -2.9
287 36 15   248  18192   3607     9.1   55   9719 5510   -1.8
288 36 15  2627 329034    517     4.6    2  13993 5710  -20.1
289 36 15   398  78108   5641     7.4   37  10523 5940   31.1
290 36 15  1518 168935    283    21.3    2   8993 5980   48.6
291 36 15   215  48245   1369    21.0   24  11984 7350  189.0
292 36 15   862 175919   1744     8.4   13  10826 7560    7.2
293 36 15   453  84967   2355    11.3   29  11977 8270   -4.8
294 36 15   421  73905    923    17.7   16  13580 8960    9.8
295 36 15   356  62200   1731    23.3   41  11423 9130   -1.3
296 36 15   655  67668   1014    24.6   16  10444 9140   -2.9
297 36 16   171  54200   2166    14.0   19  10442  150   14.8
298 36 16   215  17855   2104    49.6   49   8077  500    6.1
299 36 16   443  52350   1286    49.2    8   9709  610   19.2
300 36 16   159  21968   1140    27.2   32  10365  810   -7.1
301 36 16   559  37388    373    21.2    9   7664  870  -21.0
302 36 16   267  59241   1488    10.9   19   5902  910   -7.0
303 36 16   288  21121   1024    27.7   23   9914 1010    1.1
304 36 16   480  33857    778    33.6   16  11098 1480  -18.1
305 36 16   256  19255   1200    32.1   37   7301 1970   -1.2
306 36 16   418  23513    744    57.6   17   9204 2360   -4.5
307 36 16  1361 171005    146    34.3    2   9956 2410  -17.4
308 36 16   176  19671   1650    53.6   45  10130 2960   -7.1
309 36 16   597  82532   1034    20.6    6  12088 3010    9.7
310 36 16   172  17828   6724    39.2   68   6176 5000   72.0
311 36 16   123  14461   2185    29.9   49   8790 5410    5.6
312 36 16   964 457518    311    10.1    2  12119 7450    0.3
313 36 16   573  32157   1060    33.4    8   7748 8790   -3.8
314 36 16   153  18733   1646    27.2   47   8686 9010    8.7
315 36 17   481  77451    525    15.3    9  14675  760   11.2
316 36 17   115  41799   3068    22.0  100  11552  940   12.8
317 36 17   540  69323   1369     6.5   27  10453 1300   13.6
318 36 17   256  38820   1554    21.0   40   9056 2710   -0.5
319 36 17   168  32081   6358    13.2   90  12164 4320   -4.5
320 36 17   126  34448   5006    46.0   87  11610 5200    9.5
321 36 17   232  89518   1525     9.6   76  11731 5890    0.0
322 36 17   219  28387   1856    20.4   33   8720 6130    2.3
323 36 17   141  24957   3400    15.4  130  11218 6540    3.6
324 36 17   509  66248    578    20.7    8   8505 8140   -6.2
325 36 18   188  19514   2012    31.8   47  10568   40    3.7
326 36 18   226  27569   1769    29.5   50  11710   80   -5.1
327 36 18   131  25800   6153     7.5  127  11776  550    8.8
328 36 18   223  29199   1711    15.1   63  14654  650    6.2
329 36 18   197  23342   1794    25.9   50  11847  690   -3.6
330 36 18   207  23106   2366    18.3   73  12864 1070    4.6
331 36 18   193  31484   2985    24.9   63  15385 2180    1.0
332 36 18   178  23054   1697    28.9   49  12830 2580   -1.9
333 36 18   131  34451   3219    20.1   81  14561 4600    2.7
334 36 18   166  28355   1508    18.9   66  12102 6050    5.1
335 36 18   200  24043   2317    26.4   65  12362 6440   -2.0
336 36 18   162  26076   3481    20.0   86  11630 6470    0.6
337 36 18   181  26661   2610    25.1   84  14034 7990    3.4
338 36 19   281 100886    815    12.2   31  12300  350    7.9
339 36 19   162  76133   1879    12.6   82  12995  360    7.5
340 36 19   209  55367   5556    20.0   93  10884 1080   14.6
341 36 19   169  55235   7383    13.9  127  12751 1390    8.0
342 36 19    73  41695   5166    16.7  149   7219 2080   49.9
343 36 19   309  78711   2332    11.0   47  12328 2440    1.8
344 36 19   262  56589   3192    10.2   82  13913 3470   10.0
345 36 19   353 157499    197    29.1    9  10735 3590   26.0
346 36 19   717 220053   1255    44.9   14  13659 4100   15.7
347 36 19   463 185951    975    12.8   19  13873 4300   29.0
348 36 19   411 161786    838    11.7   10  14052 4650    2.0
349 36 19   162  44607   3435    15.0   83  13785 5660   10.5
350 36 19   363  55707    796    25.6   41  10709 6890   16.2
351 36 19   728 222717   1686     6.4   37  12657 9180    1.1
352 36 20  3286 447569    297    24.0    1  12452  310   -4.5
353 36 20  1425 131874    170     1.7    2   8917  630    7.7
354 36 20   566  61521    367    20.7    9  10865 3990   15.1
355 36 20  1112 137229   1495    15.7    6  11532 4160    5.0
356 36 20  2053 323026    348    15.9    6  12969 4170    7.2
357 36 20   891 239463    494     9.7    3   9894 4470    8.0
358 36 20  1198 300676    929     9.2    2  13473 4830   -0.5
359 36 20  3043 594758    107     6.4    1  11262 5500    3.9
360 36 20  1131 107246    722     8.7    4  10928 8860   12.6
361 36 21   154  20321   1597    37.7   46   9853 1890    3.3
362 36 21   254  21639   1076    32.5   37   9887 2170   -0.4
363 36 21   262  32114    820    59.0   20  11022 2800    1.2
364 36 21   200  30561   4823     8.8  133  12048 2990    2.3
365 36 21    99  39502   2450     6.3   81  10605 3250   -4.0
366 36 21    79  44298   2418    14.0   83  11276 3890   -7.1
367 36 21   185  29852   1459    34.5   49   9835 4740   19.1
368 36 21   201  25398   1675    34.4   76  10986 4750   14.0
369 36 21   148  54966   1084    19.9   40  10382 5050    4.2
371 36 21   272  21750    663    28.9   19   9750 6020    0.2
372 36 21   825  88349    898    56.1    3   8848 6070   11.7
373 36 21   235  44075   1558    22.3   28  12527 7320    6.2
374 36 21   328  23156   1932    62.5   18   8283 7400   -0.6
376 36 21   310  39376    746    36.5   23   9673 8020   -7.9
377 36 21   250  36037   1079    21.0   28   7328 8700    1.1
378 36 21  1920 326853   1624     7.0    4  15090 8840   -3.8
379 36 21   136  30005   1315    28.6   58  11073 9200   18.7
380 36 22   163  27611   3331    15.7   81  11881   10   19.9
381 36 22   299  80163   2842    44.4   39  12548   90   18.6
382 36 22   269  20091   1118    35.2   11   9069  270    0.6
383 36 22   180  33256   2999    27.0   52  11844  980   18.4
384 36 22   379  47744   2294    27.4   41   7438 1260  100.9
385 36 22   151  21579   2443    47.8   57  11302 1430    7.9
386 36 22   382  54496   2520    43.5   31  11225 1710   11.6
387 36 22   294  32510   2720    65.8   33   9578 2670    4.7
388 36 22   842  84314   1256    18.8   30  13411 3870   -4.7
389 36 22   264  39410   1806    27.6   38  12069 4060    9.1
390 36 22    56   8565  19897    12.8  273   6158 4590  294.5
391 36 22   422  24833    775    64.7   20   9236 4840    6.4
392 36 22   399  89358   1115    26.8   20  12934 4890    3.1
393 36 22   284  53092   2296    42.6   32  10732 6180   12.0
394 36 22   213  32158   2890    34.4   84  11888 6380   16.3
395 36 22   213  27139    677    29.4   18   8482 6590   17.1
396 36 22   353  22358   1052    31.7   25  10435 7190   21.5
397 36 22   179  23477   1749    34.5   40  10205 7330   28.7
398 36 22   300  34157   1465    24.5   23  10544 8220   35.7
399 36 22   167  41411   4590    29.4  127  11909 8770   40.1
400 36 22   199  18584   2129    27.0   28  12840 9150    1.6
401 36 22   603  44127    232    61.8    5  10879 9270   43.1
402 36 23   279  34879   2464    22.4   14   9092 2100   13.5
403 36 23   173  25962   1557    15.4   32  11345 2280    2.3
404 36 23   251  46624   1094    21.4    8   9419 2340   34.7
405 36 23   198  43821   1365    28.1   15   9825 3510   18.7
406 36 23   457  30363    426    29.9   11   8305 3760    1.7
407 36 23   293  33773    886    28.7   14   8193 4620   19.2
408 36 23   139  27837   1104    21.7   34   8572 4660   16.6
409 36 23   144  40221   1218    17.6   34  11921 4860    0.5
410 36 23   276  25508   1310    28.6   19   7809 4920   12.9
411 36 23   343  24359   1331    60.2   18  11198 5160   -9.1
412 36 23   219  20112   2568    17.6   46  10779 5680    9.1
413 36 23   739  74633    223    26.5    3   9286 6200  -25.5
414 36 23   380  34267    327     8.9    8   7548 6640    5.9
415 36 23   189  27007    586    12.4   19  10621 8370    7.0
416 36 23   301  39398   1681    20.1   15   9752 8780   26.8
417 36 23   204  39378    741    28.4    7  11209 8990   -4.3
418 36 24   105  34600   3310    17.9   87  13415  450    3.4
419 36 24   124  39116   2246    36.2   53  13712 1100   18.0
420 36 24   265  31543   2241    28.7   68  13894 1920   11.5
421 36 24   127  64270   2004    25.5   48  20722 3200    3.3
422 36 24   182  18216   3400    20.8   87   6694 3540   49.1
423 36 24   210  27066   1896    44.1   57  12254 4560   27.5
424 36 24   137  39086   2060    23.9   68  13517 4680   10.3
425 36 24   158  38753   5543    36.2  149  13576 4780   19.2
426 36 24   139  26633   1549    22.2   32   9246 5550    6.4
427 36 24   128  65431    734    63.2   98  12197 5920  -23.1
428 36 24   249  21856   1596    64.0   44  10875 6040    4.0
429 36 24   435  29558    823    29.0   21  10853 6210   19.5
430 36 24   330  18578    917    31.9   35   9669 6800   15.8
431 36 24   295  22411   1602    35.7   58  13163 7940    8.2
432 36 24   275  24799   2460    21.3   46  11508 7980   12.3
433 36 24   223  18633   1382    28.3   41  11249 8980   21.4
434 36 24   188  31405   3573    20.8   73  12543 9300    9.4
435 36 25   263  22632   2263    26.2   29   9458  950    9.2
436 36 25   131  64786   3552    23.4   74  21972 1410    6.9
437 36 25   209  42340    907    25.6   30  10808 2320   10.3
438 36 25    94  31231   2661    22.1   61  10548 2530    6.3
439 36 25   218  22344   1717    13.6   55  12551 2850    7.2
440 36 25   239  24018    963    24.9   24   7311 3230   19.6
441 36 25    76  30842   2457    31.3   62  11784 3630    5.6
442 36 25   241  28508   1295    26.5   30  10782 4530   13.2
443 36 25   114  37209   3497    15.6  109  14160 4570    7.8
444 36 25   195  32170   1658    20.8   66  13212 4700   -3.1
445 36 25   187  29559   2566    16.8   64  11942 4970   28.2
446 36 25   228  43547   1971    17.8   46  12442 5620   26.6
447 36 25   204  20567   1063    25.5   44   9523 7790    5.2
448 36 25   188  24187   1546    20.7   50   9717 8080    5.7
449 36 25   122  32897  10049    14.1  142  12847 8160    8.9
450 36 26   282  51104  34191    12.0 2206  24179  920   -3.7
451 36 26   164  31170  25478    30.5  642  16251 1600    6.3
452 36 26   242  30385   4617    20.0  139  15057 1660   12.5
453 36 26   239  41324  28348    12.3 1865  15702 3160   -3.9
454 36 26   243  33732  91854    12.3 1938  16123 3410   10.7
455 36 26   149  25014   9509    24.6  219  13110 3640   19.9
456 36 26   165  41270  36424    15.3 1029  14583 3880    0.7
457 36 26   241  39516  51323    23.2 3354  17595 4190   -9.1
458 36 26   230  67127   4801    27.6  129  22997 5220   49.0
459 36 26   226  32213  13713    18.0  390  15972 6060   18.1
460 36 26   140  37279   8702    22.2  216  16289 6420    2.6
461 36 26   213  46488  30823    25.5  822  19823 6490   11.1
462 36 26   133  50216  38015    22.5 1170  21048 6500   14.6
463 36 26   227  59841  23400    18.3 1040  27917 6690    9.3
464 36 26   171  36811   3478    30.6  103  16339 7140   16.3
465 36 26   333  44846   3260    21.0  107  20095 7290    7.2
466 36 26   130  41223   5502    23.0  175  15308 8190    6.9
